sticker_code,quantity
00,1
FWC1,1
FWC2,1
FWC3,0
FWC4,2
FWC5,0
FWC6,1
FWC7,3
FWC8,1
FWC9,2
FWC10,2
FWC11,1
FWC12,2
FWC13,2
FWC14,0
FWC15,0
FWC16,2
FWC17,1
FWC18,2
ALG1,0
ALG2,2
ALG3,1
ALG4,1
ALG5,1
ALG6,1
ALG7,1
ALG8,1
ALG9,0
ALG10,1
ALG11,1
ALG12,2
ALG13,1
ALG14,1
ALG15,1
ALG16,1
ALG17,2
ALG18,1
ALG19,0
ALG20,0
ARG1,2
ARG2,1
ARG3,1
ARG4,1
ARG5,1
ARG6,1
ARG7,2
ARG8,1
ARG9,1
ARG10,2
ARG11,1
ARG12,1
ARG13,1
ARG14,2
ARG15,1
ARG16,0
ARG17,1
ARG18,1
ARG19,1
ARG20,1
AUS1,2
AUS2,2
AUS3,1
AUS4,2
AUS5,1
AUS6,2
AUS7,1
AUS8,0
AUS9,1
AUS10,2
AUS11,1
AUS12,1
AUS13,2
AUS14,1
AUS15,2
AUS16,1
AUS17,2
AUS18,2
AUS19,0
AUS20,1
AUT1,2
AUT2,1
AUT3,2
AUT4,1
AUT5,2
AUT6,1
AUT7,0
AUT8,2
AUT9,2
AUT10,1
AUT11,1
AUT12,2
AUT13,0
AUT14,3
AUT15,1
AUT16,0
AUT17,1
AUT18,2
AUT19,0
AUT20,1
BEL1,3
BEL2,1
BEL3,2
BEL4,1
BEL5,1
BEL6,2
BEL7,1
BEL8,2
BEL9,1
BEL10,2
BEL11,1
BEL12,1
BEL13,1
BEL14,2
BEL15,2
BEL16,1
BEL17,2
BEL18,2
BEL19,1
BEL20,2
BIH1,1
BIH2,1
BIH3,0
BIH4,2
BIH5,1
BIH6,1
BIH7,1
BIH8,1
BIH9,1
BIH10,1
BIH11,1
BIH12,1
BIH13,1
BIH14,0
BIH15,1
BIH16,0
BIH17,0
BIH18,2
BIH19,1
BIH20,2
BRA2,2
BRA3,1
BRA4,1
BRA5,1
BRA6,1
BRA7,1
BRA8,1
BRA9,1
BRA10,1
BRA11,1
BRA12,1
BRA13,0
BRA14,3
BRA15,2
BRA16,1
BRA17,2
BRA18,2
BRA19,1
BRA20,2
CAN1,1
CAN2,1
CAN3,1
CAN4,1
CAN5,0
CAN6,1
CAN7,3
CAN8,1
CAN9,1
CAN10,0
CAN11,2
CAN12,0
CAN13,1
CAN14,2
CAN15,1
CAN16,0
CAN17,1
CAN18,1
CAN19,1
CAN20,2
CIV1,0
CIV2,2
CIV3,0
CIV4,0
CIV5,0
CIV6,1
CIV7,2
CIV8,0
CIV9,1
CIV10,1
